Num,Plaats,Datum,Time hh:mm:ss,Magnitude,Diepte_km,Easting,Northing,Province
1,Middelstum,05/12/1991,00:24:55,2.4,3,239542,597592,Groningen
2,Ten Boer,06/12/1992,20:34:32,1.3,3,245147,593464,Groningen
3,Slochteren,11/12/1992,13:00:50,1.4,3,245845,581232,Groningen
4,Noordbroek,12/02/1993,11:46:00,1,3,253736,590738,Groningen
5,Hoogezand,12/03/1993,22:12:41,0.9,3,249829,575743,Groningen
6,Overschild,26/03/1993,18:34:21,1.1,3,248888,589639,Groningen
7,Haren,05/05/1993,20:08:32,1.5,3,241769,577483,Groningen
8,Ten Post,14/05/1993,19:39:42,1.1,3,248711,591862,Groningen
9,Bedum,27/06/1993,02:08:51,1.4,3,239158,592910,Groningen
10,Stedum,27/06/1993,02:57:10,1,3,239826,592810,Groningen
11,Appingedam,10/07/1993,00:22:34,1.4,3,251581,595036,Groningen
12,Loppersum,27/07/1993,13:39:18,0.8,3,249643,595331,Groningen
13,Nijenklooster,23/08/1993,00:51:21,0.7,3,252316,594940,Groningen
14,Oldenzijl,04/09/1993,02:24:50,1.4,3,246721,598280,Groningen
15,Middelstum,22/09/1993,17:37:03,2,3,240720,598726,Groningen
16,Slochteren,25/09/1993,00:21:33,0.9,3,250191,581093,Groningen
17,Slochteren,23/11/1993,12:31:47,2.2,3,250739,580436,Groningen
18,Ten Post,22/12/1993,02:04:42,1.6,3,246068,590587,Groningen
19,Winneweer,04/02/1994,21:32:38,1.3,3,247643,591953,Groningen
20,Garsthuizen,28/02/1994,21:00:16,0.6,3,243712,599003,Groningen
21,Steendam,02/03/1994,10:36:38,1.5,3,249702,588987,Groningen
22,Eenrum,06/03/1994,20:02:31,1,3,249472,593881,Groningen
23,t-Zandt',14/03/1994,09:31:01,1.3,3,249623,596333,Groningen
24,Zandeweer,14/03/1994,10:44:00,1.6,3,241009,601180,Groningen
25,Westerbroek,14/03/1994,22:32:09,1.1,3,245929,576781,Groningen
26,Delfzijl,24/03/1994,05:29:03,0.8,3,259949,593319,Groningen
27,Steendam,04/04/1994,18:46:11,1.3,3,251111,588570,Groningen
28,Kolham,07/05/1994,20:08:53,1,3,249287,579517,Groningen
29,Hellum,10/05/1994,01:34:11,0.8,3,251688,583127,Groningen
30,Weiwerd,05/06/1994,02:14:50,1,3,259203,590854,Groningen
31,Achterdiep,06/06/1994,04:08:26,1,3,251042,575322,Groningen
32,Garsthuizen,08/06/1994,22:20:24,1.5,3,241204,597733,Groningen
33,De Klip,26/06/1994,17:44:38,1,3,252576,595279,Groningen
34,Uithuizermeeden,27/06/1994,20:58:53,1.7,3,246926,604964,Groningen
35,Stedum,01/07/1994,06:27:42,2.7,3,236677,593757,Groningen
36,t-Zandt',19/07/1994,08:17:29,2,3,245238,599254,Groningen
37,Middelstum,30/07/1994,09:18:20,2.7,1,237625,596779,Groningen
38,Middelstum,30/07/1994,09:53:29,1.3,1,234203,598280,Groningen
39,Warffum,07/09/1994,22:06:04,1.4,3,234002,602395,Groningen
40,Schildwolde,26/10/1994,21:41:01,1.2,3,245102,585225,Groningen
41,Steendam,13/12/1994,21:50:46,1,3,250228,589332,Groningen
42,Amsweer,24/01/1995,09:38:39,1.3,3,255618,593227,Groningen
43,Doekegat,21/03/1995,16:37:44,1.1,3,256396,606825,Groningen
44,Loppersum,06/04/1995,08:03:43,2,3,241069,597841,Groningen
45,Weiwerd,15/05/1995,09:52:39,1.8,3,258833,592516,Groningen
46,Veenhuizen,15/07/1995,16:05:39,1,3,250931,580885,Groningen
47,Meedhuizen,21/07/1995,23:24:40,1.1,3,260113,588870,Groningen
48,Wirdumerdraai,13/09/1995,21:34:36,1.1,3,244317,595118,Groningen
49,Loppersum,02/11/1995,01:07:00,1.6,3,243615,596997,Groningen
50,Uithuizerwad,04/11/1995,05:50:43,1.8,3,243638,610134,Groningen
51,Steendam,20/11/1995,02:20:54,1.1,3,246624,592935,Groningen
52,Schaaphok,12/02/1996,14:02:24,0.9,3,247083,586376,Groningen
53,Eppenhuizen,29/02/1996,08:07:34,2,3,238439,595903,Groningen
54,Appingedam,16/03/1996,04:16:32,1.4,3,252393,591156,Groningen
55,Ten Boer,15/04/1996,03:41:31,0.9,3,241745,589950,Groningen
56,Holwierde,17/04/1996,19:05:12,0.9,3,254590,597770,Groningen
57,Warffum,21/04/1996,21:36:02,0.5,3,235381,599524,Groningen
58,Delfzijl,25/04/1996,23:22:20,0.9,3,253261,597631,Groningen
59,Garrelsweer,07/06/1996,08:34:07,1.3,3,247703,592288,Groningen
60,Oterdumerwarven,09/08/1996,06:38:47,1.6,3,259753,590087,Groningen
61,t-Zandt',16/11/1996,03:33:49,1.3,3,246073,597377,Groningen
62,Schaaphok,26/12/1996,19:52:05,-0.2,3,246939,586930,Groningen
63,Westeremden,08/01/1997,01:20:54,1.5,3,243311,595433,Groningen
64,Zijldijk,17/02/1997,07:20:55,1.6,3,245805,600935,Groningen
65,Woudbloem,25/03/1997,00:13:07,-0.2,3,245823,585907,Groningen
66,Noordbroek,09/04/1997,22:21:43,0.5,3,253750,580275,Groningen
67,Schildwolde,29/04/1997,18:16:46,1.4,3,249500,585644,Groningen
68,Weiwerd,04/05/1997,02:42:39,1.1,3,257855,591493,Groningen
69,Kropswolde,04/05/1997,04:29:09,0.8,3,245314,573875,Groningen
70,Opwierde,06/06/1997,19:39:18,1.2,3,254207,590525,Groningen
71,t-Zandt',19/06/1997,23:19:25,1.8,3,245920,598376,Groningen
72,Lageland,23/07/1997,06:44:36,1.2,3,246168,585357,Groningen
73,Lageland,23/08/1997,19:39:35,1.6,3,241511,584380,Groningen
74,Wirdum,13/09/1997,21:30:41,1.1,3,245576,595476,Groningen
75,Zandeweer,01/11/1997,22:56:25,1.4,3,242597,605328,Groningen
76,Wirdum,04/11/1997,19:55:01,1.7,3,248661,594422,Groningen
77,Slochteren,20/11/1997,17:35:21,1.2,3,248860,580845,Groningen
78,Woudbloem,26/11/1997,02:35:37,0.2,3,246954,586151,Groningen
79,Meedhuizen,03/12/1997,14:47:19,1.8,3,255704,589109,Groningen
80,Siddeburen,03/12/1997,15:01:03,1.3,3,253183,585161,Groningen
81,Termunterzijl,23/12/1997,06:21:32,1.3,3,263481,593398,Groningen
82,Woudbloem,31/01/1998,08:39:39,0.7,3,245657,584123,Groningen
83,Meedhuizen,05/02/1998,21:11:49,1.1,3,258210,590499,Groningen
84,t-Zandt',15/02/1998,07:24:16,2.6,3,247269,597512,Groningen
85,Westeremden,29/03/1998,06:06:40,1.3,3,244429,596233,Groningen
86,Zeerijp,19/04/1998,08:00:12,1.5,3,243975,595557,Groningen
87,Uithuizen,19/04/1998,15:32:35,1.6,3,241072,605077,Groningen
88,Scharmer,30/04/1998,01:08:41,0.9,3,243199,579736,Groningen
89,Oldenzijl,18/05/1998,22:03:42,1.3,3,244439,602801,Groningen
90,Slochteren,30/05/1998,09:43:15,0.9,3,247864,580491,Groningen
91,Froombosch,14/08/1998,19:25:16,1.1,3,249625,579301,Groningen
92,Overschild,24/08/1998,04:28:58,2.4,3,249860,591106,Groningen
93,Zeerijp,04/10/1998,03:28:32,1,3,245611,597146,Groningen
94,Oldenzijl,12/12/1998,07:51:39,2,3,242203,601424,Groningen
95,Slochteren,26/12/1998,23:48:02,1.6,3,251378,581896,Groningen
96,Zeerijp,13/01/1999,19:36:37,2.1,3,247529,597851,Groningen
97,Siddeburen,31/01/1999,04:53:00,0.4,3,250955,586341,Groningen
98,Wirdum,06/03/1999,05:56:39,1.6,3,247668,594068,Groningen
99,Appingedam,21/04/1999,10:59:56,1.4,3,251828,592703,Groningen
100,Stedum,08/05/1999,20:40:18,1.6,3,242472,593971,Groningen
101,Sappemeer,21/05/1999,00:09:38,0.7,3,250489,576201,Groningen
102,Garsthuizen,10/08/1999,23:24:18,1.4,3,244153,600347,Groningen
103,Westeremden,11/08/1999,01:18:00,0.7,3,242562,596310,Groningen
104,Sappemeer,08/12/1999,05:39:28,0.3,3,249587,577853,Groningen
105,Schildwolde,09/12/1999,09:38:00,1.1,3,249507,585310,Groningen
106,Sappemeer,09/12/1999,09:52:12,1,3,249311,578293,Groningen
107,Achterdiep,10/12/1999,06:13:32,1.4,3,248927,577395,Groningen
108,Westeremden,20/12/1999,12:29:29,1.5,3,243083,596988,Groningen
109,Kolham,21/12/1999,04:52:37,1,3,247090,579029,Groningen
110,Delfzijl,24/12/1999,23:52:41,1.8,3,258940,593743,Groningen
111,Appingedam,12/02/2000,19:48:10,1.7,3.5,250609,593681,Groningen
112,Westeremden,19/03/2000,16:13:36,1.6,3,242302,595971,Groningen
113,Engelbert,08/04/2000,11:07:29,1.2,3,238172,580537,Groningen
114,Godlinze,08/04/2000,21:13:17,1.1,3,252031,599164,Groningen
115,Ten Boer,14/04/2000,23:07:47,1.2,3,247305,592169,Groningen
116,Garsthuizen,16/05/2000,01:11:14,1.9,3,243025,600103,Groningen
117,Loppersum,11/06/2000,04:12:20,2,3,246620,596609,Groningen
118,Loppersum,12/06/2000,15:48:23,2.5,3,245239,595692,Groningen
119,Siddeburen,15/06/2000,01:42:24,2.5,3,252367,589152,Groningen
120,Loppersum,06/07/2000,23:09:56,1.2,3,245905,595704,Groningen
121,t-Zandt',16/07/2000,01:34:12,1.5,3,247844,598747,Groningen
122,Meedhuizen,26/12/2000,16:33:57,1.4,3,256536,590797,Groningen
123,Lageland,18/03/2001,04:14:20,1.6,3,242104,584836,Groningen
124,Hoornsedijk,17/05/2001,07:48:15,1.4,3,236896,576953,Groningen
125,Overschild,21/06/2001,03:50:49,1.7,3,249200,590759,Groningen
126,Schaaphok,10/10/2001,14:06:43,1,3,246852,584479,Groningen
127,Schaaphok,10/10/2001,14:06:57,0.8,3,246850,584591,Groningen
128,Appingedam,12/11/2001,14:33:15,1.4,3,286437,636065,Groningen
129,Woudbloem,04/12/2001,19:08:31,0.2,3,248396,580613,Groningen
130,Woudbloem,04/12/2001,19:08:37,0,3,248396,580613,Groningen
131,Woudbloem,04/12/2001,22:33:37,1,3,245578,581227,Groningen
132,Slochteren,11/12/2001,15:17:17,0.7,3,248569,582063,Groningen
133,Zandeweer,25/12/2001,23:28:11,1.1,3,241128,601961,Groningen
134,Stedum,05/02/2002,10:30:39,2.2,3,243617,593324,Groningen
135,Oosterwijtwerd,27/02/2002,03:52:14,1.1,3,250906,595468,Groningen
136,Bierum,10/05/2002,10:33:48,1.7,3,252811,600071,Groningen
137,Froombosch,18/07/2002,05:31:16,1.6,3,248297,578830,Groningen
138,Luddeweer,29/08/2002,21:13:22,0,3,245767,585349,Groningen
139,Tjuchem,17/12/2002,00:23:18,0.9,3,253209,590394,Groningen
140,Spitsbergen,18/12/2002,20:31:09,0.8,3,252604,577468,Groningen
141,Loppersum,01/01/2003,19:16:15,1,3,245311,595359,Groningen
142,Overschild,18/01/2003,18:12:43,1,3,247217,589830,Groningen
143,Winneweer,23/01/2003,07:46:16,1.6,3,245974,592032,Groningen
144,Leermens,30/01/2003,01:27:30,1.5,3,248631,595980,Groningen
145,Denemarken,31/01/2003,15:20:47,0.3,3,248135,583725,Groningen
146,De Paauwen,06/02/2003,19:25:24,0.3,3,247143,586711,Groningen
147,Zeerijp,11/02/2003,19:29:49,1.3,3,247277,597066,Groningen
148,De Paauwen,12/02/2003,06:22:20,0.8,3,250072,587102,Groningen
149,Westeremden,28/02/2003,21:54:18,0.7,3,244408,597346,Groningen
150,Middelstum,03/03/2003,20:51:21,2.2,3,239871,597820,Groningen
151,Hoogezand,06/03/2003,20:15:18,0.9,3,246391,573562,Groningen
152,Kantens,09/03/2003,05:31:26,1.1,3,238383,599130,Groningen
153,Emmapolder(Eemshaven),23/03/2003,16:00:03,1.5,3,247717,608764,Groningen
154,Harkstede,29/03/2003,21:09:01,0.4,3,241449,584156,Groningen
155,Oldenklooster,01/04/2003,00:25:52,0.3,3,252510,598506,Groningen
156,Loppersum,02/04/2003,20:19:48,1.9,3,243640,595662,Groningen
157,Engelbert,05/04/2003,16:49:48,0.3,3,238031,580979,Groningen
158,Overschild,06/04/2003,00:07:50,0.1,3,248916,588193,Groningen
159,Ruiten,06/04/2003,00:57:27,1,3,246056,580679,Groningen
160,Ruiten,06/04/2003,23:02:04,0.7,3,246922,580807,Groningen
161,Overschild,16/04/2003,16:20:42,0.7,3,247563,589168,Groningen
162,Schaaphok,18/04/2003,23:59:55,0,3,246187,584355,Groningen
163,Schaaphok,20/04/2003,00:19:39,0.1,3,245969,585242,Groningen
164,Ten Boer,28/04/2003,21:56:11,1,3,244358,589330,Groningen
165,Ten Boer,29/04/2003,02:55:04,1.3,3,244556,589445,Groningen
166,Siddeburen,14/05/2003,20:52:15,0.8,3,253627,586283,Groningen
167,Siddeburen,14/05/2003,22:23:46,0.8,3,252419,586593,Groningen
168,Siddeburen,31/05/2003,23:12:25,0.8,3,254310,585518,Groningen
169,Stedum,03/06/2003,16:15:38,1.5,3,241315,595286,Groningen
170,Harkstede,06/06/2003,14:27:16,0.7,3,241473,582821,Groningen
171,Froombosch,08/06/2003,05:30:47,1,3,248623,579282,Groningen
172,Woltersum,08/06/2003,08:14:16,1.5,3,245050,588007,Groningen
173,Zeerijp,07/08/2003,08:24:21,1.7,3,246285,596714,Groningen
174,Zeerijp,07/08/2003,10:56:39,1.3,3,245628,596256,Groningen
175,Uithuizen,22/09/2003,17:50:11,2.4,3,241531,601746,Groningen
176,Westeremden,27/09/2003,13:57:54,2.7,3,242225,596527,Groningen
177,Hoeksmeer,24/10/2003,01:52:41,3,3,248666,590748,Groningen
178,Hoeksmeer,26/10/2003,09:17:00,1.2,3,248380,591744,Groningen
179,Froombosch,29/10/2003,14:30:09,1,3,248289,579275,Groningen
180,Stedum,10/11/2003,00:22:38,3,3,241806,593959,Groningen
181,Westeremden,10/11/2003,02:40:55,1.4,3,243089,596654,Groningen
182,Stedum,16/11/2003,20:04:11,2.7,3,242566,596088,Groningen
183,Garrelsweer,26/12/2003,10:09:58,1.4,3,249278,593543,Groningen
184,Delfzijl,29/12/2003,13:09:59,1.5,3,258285,596289,Groningen
185,Kolham,12/01/2004,01:05:47,1.6,3,245755,578893,Groningen
186,Woltersum,24/01/2004,13:53:44,1,3,243916,587986,Groningen
187,Appingedam,30/01/2004,11:47:40,1.2,3,253690,592964,Groningen
188,Meedhuizen,08/03/2004,01:41:16,0.4,3,255540,590553,Groningen
189,Wagenborgen,21/03/2004,17:05:44,1.4,3,257161,586468,Groningen
190,Steendam,26/03/2004,02:32:45,0.5,3,253383,588393,Groningen
191,Lageland,30/04/2004,22:12:43,0.5,3,243466,583414,Groningen
192,Garnwerd,24/05/2004,05:03:13,1.4,3,230839,592103,Groningen
193,Garnwerd,29/05/2004,21:06:42,0.8,3,229709,591863,Groningen
194,Garnwerd,31/05/2004,00:59:19,0.3,3,230367,592429,Groningen
195,Doodstil,10/06/2004,01:13:26,2.1,3,239876,601271,Groningen
196,Appingedam,27/07/2004,22:49:45,1.2,3,254090,596201,Groningen
197,Kleinemeer,21/08/2004,01:06:32,1.8,3,249020,576061,Groningen
198,Uithuizen,18/09/2004,03:33:12,1.2,3,242486,604101,Groningen
199,Winneweer,22/09/2004,12:44:33,1.5,3,245366,592466,Groningen
200,Zeerijp,30/10/2004,11:40:52,1.4,3,247602,597518,Groningen
201,Overschild,13/11/2004,12:15:57,1.2,3,249342,590316,Groningen
202,Wittewierum,24/11/2004,18:18:57,1.9,3,246079,590030,Groningen
203,Froombosch,25/11/2004,14:25:54,0.6,3,247549,579483,Groningen
204,Winneweer,26/11/2004,06:58:01,1.6,3,244960,592792,Groningen
205,Engelbert,16/12/2004,21:14:30,0.8,3,239458,583453,Groningen
206,Wirdum,09/01/2005,23:59:38,1.7,3,248939,593870,Groningen
207,Wirdum,17/01/2005,00:00:55,1.1,3,249685,593217,Groningen
208,Ten Boer,30/01/2005,02:31:34,1,3,242036,588620,Groningen
209,Bedum,08/02/2005,13:20:33,2.3,3,238358,592896,Groningen
210,Zijldijk,16/02/2005,10:46:17,1.3,3,248496,602879,Groningen
211,Westeremden,18/02/2005,12:55:46,1.3,3,244772,595683,Groningen
212,Schaaphok,18/02/2005,18:49:25,0.5,3,246001,583573,Groningen
213,Schaaphok,18/02/2005,22:05:52,1.6,3,244449,584434,Groningen
214,Hoogezand,20/02/2005,06:03:24,0,3,249125,577510,Groningen
215,Appingedam,25/02/2005,03:46:09,1.6,3,249909,595337,Groningen
216,Schaapbulten,01/03/2005,16:31:59,1.2,3,257260,594375,Groningen
217,Wagenborgen,08/03/2005,23:00:58,0.9,3,256947,587132,Groningen
218,Oosterwijtwerd,10/03/2005,02:04:39,2,3,249763,596002,Groningen
219,De Paauwen,21/03/2005,10:58:33,0.9,3,247081,586487,Groningen
220,Overschild,02/04/2005,23:21:08,1.2,3,249121,587974,Groningen
221,Overschild,18/04/2005,19:11:16,1,3,249468,587313,Groningen
222,Tjuchem,21/04/2005,20:49:21,0.9,3,254876,590428,Groningen
223,Appingedam,22/04/2005,00:14:49,0.8,3,252978,595176,Groningen
224,Vierburen,30/04/2005,19:28:02,1,3,242403,597754,Groningen
225,Siddeburen,17/05/2005,08:50:14,1,3,255547,583874,Groningen
226,Noordbroek,25/05/2005,21:33:46,1.1,3,252762,579586,Groningen
227,Westeremden,30/05/2005,15:36:45,2.3,3,243101,595986,Groningen
228,Oosterwijtwerd,22/06/2005,16:02:02,1.5,3,250322,594677,Groningen
229,Lageland,09/07/2005,17:01:37,1.1,3,241647,584271,Groningen
230,Winneweer,17/07/2005,18:07:07,1.8,3,245616,593361,Groningen
231,Harkstede,25/07/2005,03:21:58,0.8,3,243503,581411,Groningen
232,Sappemeer,05/08/2005,19:23:02,2.2,3,250141,576862,Groningen
233,Garrelsweer,10/09/2005,02:05:11,1.2,3,247288,593059,Groningen
234,Eppenhuizen,05/10/2005,09:16:02,1.7,3,238596,594570,Groningen
235,Diddingehuizen,23/10/2005,17:03:38,1.9,3,240724,598503,Groningen
236,Harkstede,11/11/2005,17:02:29,1.4,3,242476,582728,Groningen
237,Harkstede,02/01/2006,12:00:45,1.1,3,242319,584061,Groningen
238,Hoogezand,14/01/2006,22:29:54,0.3,3,247251,577585,Groningen
239,Wittewierum,18/01/2006,08:12:46,1.5,3,246877,590157,Groningen
240,Overschild,18/01/2006,22:08:15,1.6,3,247445,588387,Groningen
241,Loppersum,20/01/2006,20:22:50,1.3,3,245114,595244,Groningen
242,Lageland,23/01/2006,11:17:39,1.9,3,242450,584175,Groningen
243,Spijk,28/01/2006,03:00:42,1.1,3,250212,600241,Groningen
244,Siddeburen,11/02/2006,20:01:35,1.3,3,252421,586481,Groningen
245,Hoeksmeer,12/02/2006,14:36:38,1.5,3,248862,590975,Groningen
246,Wirdumerdraai,24/02/2006,04:50:30,1.3,3,248363,592635,Groningen
247,Kropswolde,04/03/2006,04:32:33,1.8,3,245649,573882,Groningen
248,Ten Post,21/03/2006,14:50:33,2.4,3,246185,591480,Groningen
249,Overschild,23/03/2006,03:12:23,2.2,3,247759,589395,Groningen
250,Delfzijl,05/04/2006,01:41:09,1.4,3,255086,596333,Groningen
251,Steendam,12/04/2006,05:20:29,1.2,3,251723,588026,Groningen
252,Garmerwolde,13/04/2006,07:38:51,1.5,3,239106,584449,Groningen
253,Garrelsweer,16/04/2006,13:51:52,1.9,3,248034,592406,Groningen
254,Garrelsweer,16/04/2006,18:44:54,1.1,3,247161,592723,Groningen
255,Stedum,19/04/2006,17:39:15,1.6,3,241450,595177,Groningen
256,Loppersum,22/04/2006,03:41:54,1.5,3,245936,594035,Groningen
257,Warffum,22/04/2006,17:03:13,0.4,3,235569,600195,Groningen
258,Delfzijl,23/04/2006,01:18:18,0.9,3,254634,595655,Groningen
259,Wirdumerdraai,02/05/2006,16:52:01,1,3,248958,592869,Groningen
260,Wittewierum,03/05/2006,19:16:37,1.2,3,247010,590159,Groningen
261,Westeremden,07/05/2006,16:11:32,1.4,3,243563,596217,Groningen
262,Lageland,22/05/2006,20:23:40,0.9,3,242509,584621,Groningen
263,Schildwolde,06/06/2006,03:17:34,1.4,3,249992,584429,Groningen
264,Lageland,08/06/2006,23:31:06,0.8,3,241977,584500,Groningen
265,Overschild,16/06/2006,21:06:46,1.6,3,247206,590386,Groningen
266,Garrelsweer,17/06/2006,02:43:08,1.2,3,247062,590940,Groningen
267,Appingedam,17/06/2006,13:16:21,1.4,3,252587,594723,Groningen
268,Garrelsweer,23/06/2006,22:35:43,1.7,3,246686,593159,Groningen
269,Oosterwijtwerd,24/06/2006,16:42:19,1.2,3,250631,595908,Groningen
270,Godlinze,12/07/2006,00:13:56,0.9,3,249903,599010,Groningen
271,Appingedam,12/07/2006,22:56:23,1.3,3,253701,592408,Groningen
272,Appingedam,16/07/2006,08:10:39,1.5,3,253648,591739,Groningen
273,Westeremden,08/08/2006,05:04:00,3.5,3,242221,596749,Groningen
274,Westeremden,08/08/2006,09:49:23,2.5,3,242889,596650,Groningen
275,Harkstede,11/08/2006,06:21:23,1.1,3,240817,582141,Groningen
276,Westeremden,26/08/2006,22:41:18,2.3,3,243234,595988,Groningen
277,Peizermade,06/09/2006,01:37:32,1.8,3,230851,578635,Groningen
278,Garsthuizen,27/09/2006,23:30:44,1.6,3,241521,598629,Groningen
279,Hoeksmeer,06/10/2006,00:10:28,1.6,3,248518,591524,Groningen
280,Garsthuizen,23/10/2006,13:38:05,2.3,3,244905,599248,Groningen
281,Delfzijl,25/10/2006,09:45:41,1.4,3,257329,594265,Groningen
282,Oldenzijl,26/10/2006,13:59:37,1.4,3,242664,601655,Groningen
283,Schaaphok,05/11/2006,15:00:25,1.2,3,248714,588300,Groningen
284,Delfzijl,10/01/2007,18:36:28,1.5,3,254629,595878,Groningen
285,Overschild,18/01/2007,22:29:44,0.9,3,247044,588379,Groningen
286,Zeerijp,26/01/2007,00:20:09,2.3,3,246079,597044,Groningen
287,Zandeweer,31/01/2007,01:03:35,1.2,3,240521,598722,Groningen
288,Middelstum,04/02/2007,04:47:35,0.6,3,239632,596257,Groningen
289,Harkstede,16/02/2007,11:14:09,1.5,3,242802,583179,Groningen
290,Harkstede,17/02/2007,01:41:14,2.6,3,242871,583069,Groningen
291,Harkstede,17/02/2007,02:21:08,0.9,3,241533,583156,Groningen
292,Krewerd,17/02/2007,19:58:01,0.9,3,252873,597066,Groningen
293,Harkstede,03/03/2007,06:43:33,1.1,3,243189,583965,Groningen
294,Wirdum,11/03/2007,01:08:14,1.1,3,247800,594182,Groningen
295,Schaaphok,21/03/2007,23:04:36,1.2,3,244113,584539,Groningen
296,Lageland,30/03/2007,16:25:05,1.2,3,243120,584075,Groningen
297,Harkstede,01/04/2007,15:42:37,0.7,3,241997,583387,Groningen
298,Woudbloem,13/04/2007,14:57:28,1.2,3,245544,583007,Groningen
299,Stedum,14/05/2007,12:19:24,2,3,242593,594641,Groningen
300,Westeind,19/05/2007,05:33:22,0.4,3,251360,576107,Groningen
301,Zeerijp,09/06/2007,20:07:33,2.1,3,245544,597145,Groningen
302,Bedum,10/06/2007,17:27:40,1.7,3,236673,593980,Groningen
303,Bedum,11/06/2007,02:18:12,1.1,3,239348,593470,Groningen
304,Stedum,23/06/2007,02:01:45,1.2,3,242688,593084,Groningen
305,Garsthuizen,15/08/2007,05:49:24,1.5,3,244512,598906,Groningen
306,Leermens,17/09/2007,05:01:20,1.5,3,249093,596211,Groningen
307,Schildwolde,18/09/2007,06:16:33,0.9,3,249329,584193,Groningen
308,Fraamklap,28/09/2007,05:26:40,1.2,3,237317,595327,Groningen
309,Froombosch,30/09/2007,14:17:35,2.1,3,248618,579504,Groningen
310,Loppersum,27/10/2007,01:57:51,2,3,245653,594920,Groningen
311,Overschild,13/11/2007,10:26:05,1.7,3,250738,590566,Groningen
312,Sauwerd,10/12/2007,03:59:13,0.7,3,231528,590667,Groningen
313,Garmerwolde,07/01/2008,21:53:16,1.1,3,239835,584796,Groningen
314,Bedum,24/01/2008,19:21:01,1.5,3,247612,579707,Groningen
315,Garrelsweer,12/02/2008,02:48:49,0.9,3,248032,592517,Groningen
316,Froombosch,19/02/2008,15:44:51,0.9,3,246904,578247,Groningen
317,Onderdendam,19/03/2008,17:02:10,1.2,3,233435,596375,Groningen
318,Steendam,29/03/2008,16:57:22,1.4,3,252007,590481,Groningen
319,Westeremden,31/03/2008,07:06:02,1.2,3,242429,596308,Groningen
320,Meedhuizen,07/04/2008,04:32:22,1.2,3,255669,590779,Groningen
321,Tjuchem,11/04/2008,22:51:26,1.1,3,254228,589524,Groningen
322,Westerdijkshorn,15/04/2008,04:54:03,0.9,3,232968,592360,Groningen
323,Siddeburen,28/04/2008,02:47:01,1.3,3,253284,586722,Groningen
324,Onderdendam,05/05/2008,19:56:08,1,3,235128,594733,Groningen
325,Ten Post,09/05/2008,21:33:03,1.3,3,244218,589662,Groningen
326,Loppersum,10/05/2008,23:20:35,1.2,3,244333,594228,Groningen
327,Garsthuizen,18/05/2008,13:23:46,2.2,2.8,244234,599569,Groningen
328,Loppersum,19/05/2008,15:07:29,1.9,3,245137,594020,Groningen
329,Usquert,30/05/2008,14:48:08,1.3,3,237848,603128,Groningen
330,Garrelsweer,01/06/2008,11:00:58,1.3,3,247972,592182,Groningen
331,Garrelsweer,10/06/2008,20:51:05,0.9,3,248167,592408,Groningen
332,Siddeburen,22/06/2008,21:06:15,0.9,3,252106,585584,Groningen
333,Holwierde,10/07/2008,06:57:33,2.5,3,254540,596989,Groningen
334,Engelbert,23/07/2008,20:05:12,1.2,3,240229,581352,Groningen
335,Loppersum,23/08/2008,19:49:07,0.9,3,244127,594558,Groningen
336,Westerwijtwerd,14/09/2008,20:32:12,1.1,3,237264,594546,Groningen
337,Lageland,20/09/2008,08:45:58,1.3,3,243116,584298,Groningen
338,Warffum,29/09/2008,10:20:44,1.8,3,235841,599865,Groningen
339,Schildwolde,26/10/2008,02:48:50,1.1,3,249647,584979,Groningen
340,Stedum,29/10/2008,16:36:21,1.4,3,243128,594539,Groningen
341,Westeremden,30/10/2008,05:54:29,3.2,3,243780,595331,Groningen
342,Garsthuizen,07/11/2008,16:40:01,2.2,3,244687,600246,Groningen
343,Tetjehorn,10/12/2008,03:22:38,1.1,3,251102,589015,Groningen
344,Onderdendam,15/12/2008,20:41:17,1.5,3,235789,595078,Groningen
